###############################################################################
Defintion of the variables
  index: ID of structure
  coordiantion: number of the first neigbor of the center Au
  Ead: adsorption energy
  AuC: distance between center Au and C
  com_dis: distance between center Au and center of mass of CO
  angle: angle between center Au, C and O
###############################################################################

index coordination Ead_vacuum Ead_reqm AuC_vacuum AuC_reqmcom_dis_vacuum com_dis_reqm angle_vacuum angle_reqm
  701624   7   -0.8383   -0.8288    2.0055    2.0185   2.6549    2.6595    169.63    164.89
  701634   7   -0.9107   -0.8343    1.9917    2.0120   2.6481    2.6471    175.56    162.19
  701740   7   -0.7806   -0.8785    2.0047    2.0236   2.6617    2.6757    177.73    172.68
  702636   7   -0.8086   -0.9391    2.0004    2.0186   2.6577    2.6737    178.29    176.15
  702816   7   -0.8116   -0.8601    2.0005    2.0185   2.6566    2.6745    177.45    177.85
  702843   7   -0.8702   -0.9246    1.9973    2.0151   2.6545    2.6687    178.26    172.69
  702847   7   -0.8434   -0.9211    2.0000    2.0184   2.6571    2.6669    178.26    169.56
    7971   9   -0.4246   -0.4993    2.1020    2.1093   2.7411    2.7033    164.73    151.65
  800336   8   -0.5883   -0.5983    2.0429    2.0597   2.7016    2.7159    179.10    174.68
  800540   8   -0.6384   -0.5920    2.0242    2.0413   2.6820    2.6757    177.62    161.89
  800611   8   -0.7754   -0.6633    2.0107    2.0278   2.6670    2.6556    177.46    160.00
  800625   8   -0.6929   -0.5378    2.1111    2.0959   2.6810    2.6783    144.02    146.75
  800676   8   -0.7889   -0.7561    2.0091    2.0107   2.6619    2.6456    172.15    162.72
  800810   8   -0.6412   -0.6241    2.0330    2.0497   2.6907    2.6626    178.68    154.89
  800933   8   -0.7080   -0.6504    2.0482    2.0659   2.7066    2.7283    180.00    171.44
  801028   8   -0.7202   -0.7144    2.0291    2.0485   2.6824    2.6998    171.93    172.26
  801291   8   -0.6000   -0.6089    2.0291    2.0466   2.6874    2.7037    179.72    176.12
  801365   8   -0.6589   -0.7278    2.0396    2.0499   2.6851    2.6719    167.49    158.33
  801383   8   -0.6699   -0.6990    2.0295    2.0481   2.6866    2.7003    178.64    172.78
  801385   8   -0.6816   -0.7125    2.0318    2.0432   2.6843    2.6950    170.40    169.61
  801426   8   -0.8295   -0.8339    2.1597    2.2790   2.6895    2.7503    137.39    129.42
  801433   8   -0.7124   -0.7194    2.0184    2.0346   2.6756    2.6256    179.42    149.47
  801719   8   -0.6805   -0.7236    2.0294    2.0403   2.6862    2.6899    178.98    169.83
  802053   8   -0.7241   -0.7709    2.0196    2.0162   2.6780    2.6714    179.09    173.06
  802241   8   -0.5869   -0.6345    2.0370    2.0558   2.6854    2.6916    167.86    162.20
  802415   8   -0.6835   -0.7749    2.0335    2.0413   2.6772    2.6976    165.80    175.39
  802566   8   -0.7890   -0.7824    2.0238    2.0296   2.6798    2.6816    177.57    172.94
  802635   8   -0.8445   -0.7232    2.0835    2.0672   2.6534    2.6740    143.96    152.14
  900076   9   -0.5937   -0.6220    2.0472    2.0656   2.7038    2.6829    178.41    157.05
  900333   9   -0.6108   -0.5735    2.0610    2.0778   2.7157    2.6885    174.43    154.88
