ID  E_adsorption/eV
601482   6   0.2179
601488   6   0.0750
601505   6   0.0215
601517   6   0.0727
601521   6  -0.0587
601525   6   0.0559
601537   6   0.1359
601550   6   0.1015
601555   6   0.0583
601588   6   0.1479
601604   6  -0.0421
601611   6   0.1473
601618   6   0.1115
601620   6  -0.0441
601624   6   0.0964
601643   6  -0.0233
601644   6   0.0046
601649   6   0.1039
601659   6   0.0783
601673   6   0.0939
601693   6  -0.0135
601694   6   0.0148
601748   6   0.0401
601751   6   0.0923
601766   6   0.0590
601773   6   0.1245
601782   6  -0.0020
601810   6   0.0971
601823   6   0.0704
601825   6   0.1025
601838   6   0.0084
601844   6   0.1021
601854   6   0.0186
601857   6   0.1090
601863   6   0.0222
601865   6   0.0608
601868   6   0.0352
601869   6   0.0803
601890   6   0.0286
601898   6   0.0019
601903   6   0.0882
601906   6   0.0550
601921   6  -0.1141
601924   6   0.0629
601928   6   0.0929
601930   6   0.1322
601938   6   0.0191
601946   6   0.1313
601959   6  -0.0220
601961   6  -0.0064
601984   6   0.1114
601990   6   0.1033
601998   6   0.1754
601999   6   0.2390
602029   6   0.0982
602037   6   0.0047
602038   6   0.0548
602049   6   0.0423
602051   6   0.1683
602064   6   0.0603
602078   6   0.0908
602092   6  -0.0833
602108   6  -0.0280
602110   6   0.0287
602113   6   0.0296
602115   6   0.0659
602118   6  -0.0685
602149   6   0.0290
602155   6   0.0611
602158   6  -0.0113
602162   6   0.0631
602180   6   0.1179
602187   6  -0.0601
602191   6   0.1130
602206   6   0.1024
602214   6   0.0549
602222   5  -0.0097
6027     6  -0.0460
6099     6   0.1632
6115     6   0.0626
6151     8   0.1341
6204     6  -0.0433
6220     6   0.0701
6235     7  -0.0171
6271     8   0.2119
6348     6   0.0703
6356     6  -0.0219
6399     6   0.0336
6452     6   0.0230
6459     6  -0.0514
6527     6   0.1936
6561     6   0.0551
6591     6   0.0575
6603     7   0.0386
6628     5   0.0272
6640     6   0.0639
6696     6   0.0790
6801     7   0.0550
6815     8   0.0870
6840     7  -0.0088
6843     7  -0.0386
6863     5   0.0415
6888     8   0.1117
6929     7   0.1272
6935     6  -0.0161
6950     7  -0.0319
6983     7   0.0086
6989     5  -0.0136
700000   7   0.0130
700012   7   0.0042
700015   7   0.0834
700020   7   0.0237
700033   7   0.2206
700054   7   0.0496
700064   7   0.1257
700072   7   0.0550
700075   7   0.0039
700080   7   0.1516
700089   7   0.0803
700095   7   0.0306
700108   7   0.1212
700118   7   0.1084
700129   7  -0.0635
700134   7   0.0450
700137   7   0.0410
700152   7   0.1141
700158   7   0.1711
700169   7   0.0790
700176   7   0.1138
700179   7  -0.0046
700193   7   0.1673
700211   7   0.0962
700217   7   0.1734
700225   7   0.1287
700227   7  -0.0023
700229   7   0.1276
700232   7   0.2103
700241   7   0.0656
700251   7   0.1788
700303   7   0.2260
700354   7  -0.0002
700371   7   0.0597
700386   7   0.1159
700397   7   0.1400
700408   7   0.1114
700424   7   0.0389
700426   7   0.1015
700428   7   0.0164
700439   7   0.1771
700455   7   0.0188
700464   7   0.0540
700468   7   0.0450
700489   7   0.1684
700514   7   0.0244
700521   7   0.0139
700528   7   0.1706
700562   7  -0.0961
700580   7   0.0806
700581   7   0.1013
700583   7   0.1187
700590   7   0.1185
700603   7   0.1977
700639   7   0.0178
700646   7   0.1676
700666   7   0.1535
700700   7   0.1263
700710   7   0.0373
700712   7   0.1962
700762   7   0.0881
700765   7   0.1300
700829   7   0.1360
700838   7   0.0621
700839   7   0.0247
700841   7   0.1274
700844   7  -0.0981
700854   7   0.1791
700859   7   0.1129
700901   7   0.1156
700909   7   0.1231
700918   7   0.1892
700929   7  -0.0170
700935   7   0.1722
700967   7   0.1189
700973   7   0.0350
700974   7   0.0160
700982   7   0.1062
701004   7   0.0664
701008   7   0.1675
701018   7   0.0860
701051   7   0.0419
701065   7   0.0980
701071   7   0.0817
701076   7   0.0282
701084   7  -0.0106
701103   7   0.1603
701139   7   0.1257
701156   7   0.0305
701169   7  -0.0948
701199   7   0.1171
701207   7   0.0268
701209   7   0.0370
701218   7   0.0523
701244   7   0.1448
701246   7   0.1514
701252   7   0.0633
701263   7   0.1696
701266   7  -0.0313
701284   7   0.0670
701312   7  -0.0010
701323   7   0.0360
701327   7   0.1353
701329   7  -0.0053
701335   7   0.0921
701343   7  -0.0501
701354   7   0.1485
701359   7   0.2234
701360   7   0.0437
701388   7   0.0255
701413   7   0.0067
701421   7   0.0205
701454   7   0.1298
701480   7   0.0060
701497   7   0.0935
701526   7   0.1612
701535   7   0.1364
701545   7   0.0315
701574   7   0.2161
701588   7   0.1904
701620   7   0.1449
701623   7   0.2636
701624   7   0.1573
701647   7   0.1634
701706   7   0.0268
701723   7   0.1161
701728   7   0.0969
701729   7   0.1687
701731   7   0.1145
701737   7   0.1802
701767   7   0.2162
701777   7  -0.0113
701808   7  -0.0285
701840   7   0.0016
701874   7   0.0753
701875   7   0.0629
701879   7   0.0986
701891   7   0.0781
701898   7   0.1456
701903   7   0.0844
701920   7   0.1186
701923   7   0.0683
701929   7   0.1319
701931   7   0.0668
701963   7   0.0666
701983   7   0.1949
702004   7   0.1437
702021   7   0.1402
702045   7   0.0008
702080   7   0.0336
702088   7   0.1165
702089   7  -0.0507
702114   7   0.0925
702126   7   0.0070
702131   7   0.1231
702152   7   0.0588
702158   7   0.0616
702194   7  -0.0075
702208   7  -0.0242
702229   7   0.1759
702233   7   0.1934
702243   7   0.1692
702251   7   0.0978
702269   7   0.2885
702278   7   0.1283
702293   7   0.1552
702308   7   0.0729
702325   7   0.0136
702328   7   0.0287
702331   7   0.1108
702378   7   0.1825
702387   7  -0.0046
702390   7  -0.1081
702430   7   0.0539
702442   7   0.1520
702451   7   0.1613
702458   7   0.0156
702470   7   0.2236
702498   7   0.0446
702518   7   0.1252
702538   7   0.0196
702540   7   0.1899
702541   7  -0.0263
702557   7   0.1003
702573   7   0.1641
702656   7   0.1081
702665   7   0.2257
702688   7   0.1403
702696   7   0.1368
7027     6   0.0082
702703   7  -0.0236
702704   7   0.1574
702731   7   0.1839
702735   7   0.0019
702745   7   0.0147
702754   7   0.0502
702775   7   0.0692
702806   7  -0.0578
702825   7   0.0295
702843   7   0.0922
702855   7   0.0670
7107     6  -0.0508
7126     6   0.0574
7150     9   0.4666
7186     6   0.0836
7213     6   0.0044
7261     8   0.2989
7279     6   0.0005
7324     8   0.1688
7342     7   0.1203
7447     7   0.1364
7449     6   0.2079
7544     6  -0.0661
7567     6   0.0611
7568     8   0.1053
7693     5   0.0742
7703     8   0.1189
7724     7   0.0146
7808     6  -0.0046
7868     7  -0.0569
800000   8   0.2805
800022   8   0.1947
800027   8   0.2738
800032   8   0.2108
800064   8   0.0804
800074   8   0.1985
800114   8   0.2084
800122   8   0.0922
800123   8   0.0722
800126   8   0.2514
800172   8   0.2619
800263   8   0.2044
800268   8   0.1045
800275   8   0.2660
800279   8   0.1343
800282   8   0.1736
800322   8   0.2103
800341   8   0.0831
800346   8   0.1338
800347   8   0.1322
800357   8   0.1758
800363   8   0.1611
800385   8   0.2214
800394   8   0.1883
800406   8   0.2938
800411   8   0.1960
800423   8   0.2099
800435   8   0.2850
800438   8   0.2193
800448   8   0.2129
800456   8   0.0478
800458   8   0.0740
800460   8   0.0632
800470   8   0.2694
800474   8   0.0980
800505   8   0.1062
800512   8   0.1885
800517   8   0.2394
800525   8   0.0734
800558   8   0.0829
800611   8   0.1227
800612   8   0.2601
800615   8   0.1564
800626   8   0.0664
800627   8  -0.0115
800632   8   0.1491
800634   8   0.2437
800641   8   0.0922
800652   8   0.2174
800657   8   0.2292
800666   8   0.1060
800668   8   0.2192
800674   8   0.2227
800758   8   0.3969
800764   8   0.0864
800785   8   0.1852
800794   8   0.0990
800824   8   0.2535
800825   8   0.1879
800827   8   0.2481
800841   8   0.1856
800842   8   0.1186
800849   8   0.1870
800852   8   0.1891
800932   8   0.2498
800936   8   0.1831
800948   8   0.2903
800949   8   0.3207
800953   8   0.2623
800966   8   0.2916
800993   8   0.2597
801006   8   0.0295
801012   8  -0.0249
801016   8   0.2057
801017   8   0.1749
801040   8   0.0793
801047   8   0.1475
801066   8   0.1316
801089   8   0.1722
801090   8   0.1904
801092   8   0.2398
801102   8   0.2281
801112   8   0.2388
801120   8   0.2595
801151   8   0.1113
801188   8   0.1759
801223   8   0.2013
801230   8   0.1278
801241   8   0.1996
801271   8   0.2537
801274   8   0.1501
801314   8   0.3237
801362   8   0.2346
801363   8   0.0513
801365   8   0.2402
801380   8   0.0136
801389   8   0.0848
801396   8   0.1614
801406   8   0.2580
801408   8   0.0971
801426   8   0.0425
801444   8   0.3268
801445   8   0.2204
801454   8   0.2015
801457   8   0.2402
801461   8   0.2712
801466   8   0.2356
801467   8   0.1734
801475   8   0.2050
801478   8   0.2551
801496   8   0.0604
801509   8   0.2636
801510   8   0.2577
801524   8   0.2859
801525   8   0.2146
801531   8   0.1931
801537   8   0.3071
801558   8   0.0959
801587   8   0.2538
801593   8   0.1723
