system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCO_800933 -0.70800000 -0.68254926 -0.66390078 -0.65038076 
CONTCAR_AuCO_801028 -0.72020000 -0.71635482 -0.70739209 -0.71436819 
CONTCAR_AuCO_801291 -0.60000000 -0.56883915 -0.60413082 -0.60891368 
CONTCAR_AuCO_801365 -0.65890000 -0.63633681 -0.71089122 -0.72781553 
CONTCAR_AuCO_801383 -0.66990000 -0.66750790 -0.69469276 -0.69901920 
CONTCAR_AuCO_801385 -0.68160000 -0.68332566 -0.69758460 -0.71251199 
CONTCAR_AuCO_801426 -0.82950000 -0.80380190 -0.81928696 -0.83393915 
CONTCAR_AuCO_801433 -0.71240000 -0.60663024 -0.78542310 -0.71941846 
CONTCAR_AuCO_801719 -0.68050000 -0.67402369 -0.71689780 -0.72359355 
CONTCAR_AuCO_802053 -0.72410000 -0.72690463 -0.76265200 -0.77087262 
CONTCAR_AuCO_802241 -0.58690000 -0.54537296 -0.63168355 -0.63451780 
CONTCAR_AuCO_802415 -0.68350000 -0.67527630 -0.75134741 -0.77485805 
CONTCAR_AuCO_802566 -0.78900000 -0.76224860 -0.77852689 -0.78243885 
CONTCAR_AuCO_802635 -0.84450000 -0.81612516 -0.70598587 -0.72322482 
CONTCAR_AuCO_900076 -0.59370000 -0.51625351 -0.65150517 -0.62195748 
CONTCAR_AuCO_900333 -0.61080000 -0.53319413 -0.60178991 -0.57346955 
CONTCAR_AuCO_900533 -0.58500000 -0.48183217 -0.54661130 -0.47712902 
CONTCAR_AuCO_900537 -0.57880000 -0.46065108 -0.54473824 -0.49995205 
CONTCAR_AuCO_900669 -0.58730000 -0.54686793 -0.55281126 -0.54205571 
CONTCAR_AuCO_900790 -0.64050000 -0.53132651 -0.56922216 -0.51621821 
CONTCAR_AuCO_901521 -0.58000000 -0.52597037 -0.50958581 -0.48739049 
CONTCAR_AuCO_902165 -0.56130000 -0.46822007 -0.57025474 -0.50412296 
CONTCAR_AuCO_902356 -0.86110000 -0.77497120 -0.79984627 -0.79281334 
CONTCAR_AuCO_902528 -0.52060000 -0.43604159 -0.41638112 -0.36368385 
CONTCAR_AuCO_902666 -0.63380000 -0.55011092 -0.74387094 -0.75197243 
CONTCAR_AuCO_902880 -0.61430000 -0.62142118 -0.56321595 -0.57059764 
CONTCAR_AuCO_902982 -0.64370000 -0.54004927 -0.70816295 -0.69780184 
CONTCAR_AuCO_903140 -0.52420000 -0.42321268 -0.56415424 -0.52088940 
CONTCAR_AuCO_903266 -0.57590000 -0.50340016 -0.54688401 -0.53364803 
CONTCAR_AuCO_903473 -0.60860000 -0.54198737 -0.58983491 -0.51673863 
CONTCAR_AuCO_01006 -0.77520000 -0.74652520 -0.90892259 -0.91699909 
CONTCAR_AuCO_01008 -0.77780000 -0.76640353 -0.76947641 -0.77327960 
CONTCAR_AuCO_01017 -0.70190000 -0.67342485 -0.70375749 -0.71166861 
CONTCAR_AuCO_01024 -0.60320000 -0.60071320 -0.55822158 -0.54400298 
CONTCAR_AuCO_03016 -0.96430000 -0.96558730 -0.98160423 -1.00923857 
CONTCAR_AuCO_03025 -0.87950000 -0.83156282 -0.85971236 -0.86453536 
CONTCAR_AuCO_04004 -0.70310000 -0.63330524 -0.74904319 -0.69607250 
CONTCAR_AuCO_04011 -0.93310000 -0.92688495 -1.12201905 -1.13169562 
CONTCAR_AuCO_04012 -0.83310000 -0.82313992 -0.85128957 -0.87303967 
CONTCAR_AuCO_04020 -0.73180000 -0.66545336 -0.79965453 -0.71718734 
CONTCAR_AuCO_04021 -0.68770000 -0.66829666 -0.65380396 -0.66167570 
CONTCAR_AuCO_04022 -0.60980000 -0.53547353 -0.63920381 -0.59010992 
CONTCAR_AuCO_05014 -0.52270000 -0.49964933 -0.49204082 -0.49062989 
CONTCAR_AuCO_06014 -0.74020000 -0.71508307 -0.71917938 -0.72584562 
CONTCAR_AuCO_06020 -0.95430000 -0.94964464 -1.02762109 -1.08009858 
CONTCAR_AuCO_07005 -0.69740000 -0.68528322 -0.65411575 -0.65607388 
CONTCAR_AuCO_07028 -0.98940000 -0.93397906 -1.03676639 -1.04261393 
CONTCAR_AuCO_08002 -0.91060000 -0.84122565 -0.89372035 -0.87968794 
CONTCAR_AuCO_08015 -0.93860000 -0.88590642 -0.94116670 -0.96088023 
CONTCAR_AuCO_08017 -0.77450000 -0.72164646 -0.75122557 -0.73899078 
CONTCAR_AuCO_09012 -0.89400000 -0.88078315 -1.05524120 -1.06556589 
CONTCAR_AuCO_09013 -0.67570000 -0.68814525 -0.73089570 -0.73365284 
CONTCAR_AuCO_09026 -0.68700000 -0.58722699 -0.69433382 -0.59516643 
CONTCAR_AuCO_1110138 -0.89370000 -0.87644680 -1.02984804 -1.04027868 
CONTCAR_AuCO_1110292 -0.77110000 -0.74353433 -0.72530372 -0.72674636 
CONTCAR_AuCO_1110296 -1.12790000 -1.13816306 -1.31674361 -1.34785074 
CONTCAR_AuCO_1110323 -0.86130000 -0.85159259 -0.88393518 -0.90158360 
CONTCAR_AuCO_1110356 -0.56950000 -0.55863372 -0.57210374 -0.55419046 
CONTCAR_AuCO_1110362 -0.66690000 -0.66941003 -0.72667452 -0.73182326 
CONTCAR_AuCO_1110405 -1.04260000 -1.01325261 -1.14209862 -1.14155350 
CONTCAR_AuCO_1110611 -0.77910000 -0.74935904 -0.79882217 -0.82616312 
CONTCAR_AuCO_1110625 -0.47470000 -0.43534818 -0.48085432 -0.47791785 
CONTCAR_AuCO_1110803 -0.77770000 -0.74082262 -0.75905843 -0.77610387 
CONTCAR_AuCO_1702 -0.70150000 -0.65365676 -0.68566942 -0.66028225 
CONTCAR_AuCO_1995 -0.52360000 -0.52354867 -0.47891574 -0.48450659 
CONTCAR_AuCO_5917 -0.73690000 -0.67733312 -0.68575741 -0.65513733 
CONTCAR_AuCO_600139 -0.93460000 -0.91148535 -1.02890722 -1.03687782 
CONTCAR_AuCO_600145 -0.94870000 -0.94000033 -0.99212280 -0.98799230 
CONTCAR_AuCO_600871 -0.94030000 -0.93282904 -0.98952441 -0.99331087 
CONTCAR_AuCO_600928 -0.93560000 -0.91727255 -0.94634389 -0.97517567 
CONTCAR_AuCO_600947 -0.93530000 -0.93557251 -0.98858385 -0.99995292 
CONTCAR_AuCO_601004 -0.94950000 -0.92742924 -1.02264175 -0.99557383 
CONTCAR_AuCO_601280 -0.92550000 -0.87903730 -1.03986393 -1.03920117 
CONTCAR_AuCO_601316 -0.91490000 -0.90122403 -0.97958215 -1.00242936 
CONTCAR_AuCO_601399 -0.98150000 -0.96228126 -1.11917599 -1.11841253 
CONTCAR_AuCO_601435 -0.90560000 -0.90969439 -0.91373240 -0.91640210 
CONTCAR_AuCO_601451 -0.93940000 -0.93744079 -1.03343772 -1.05451139 
CONTCAR_AuCO_601521 -0.93470000 -0.92119779 -0.98891545 -0.99355295 
CONTCAR_AuCO_601984 -0.94910000 -0.92906571 -0.94903583 -0.95046254 
CONTCAR_AuCO_602110 -0.95930000 -0.93468966 -1.01264624 -1.03244854 
CONTCAR_AuCO_602115 -0.94730000 -0.93001899 -0.95762467 -0.96638121 
CONTCAR_AuCO_602222 -0.97710000 -0.96570437 -0.97158304 -0.98642226 
CONTCAR_AuCO_700280 -0.86300000 -0.81990399 -1.00079279 -0.95045148 
CONTCAR_AuCO_700296 -0.85180000 -0.86355076 -0.87583543 -0.88512667 
CONTCAR_AuCO_700872 -0.73640000 -0.70141838 -0.76191279 -0.75270502 
CONTCAR_AuCO_700982 -0.80790000 -0.79704820 -0.96662359 -0.97798882 
CONTCAR_AuCO_701250 -0.84070000 -0.83073573 -0.83450225 -0.86543268 
CONTCAR_AuCO_701329 -0.81300000 -0.78824193 -0.88648692 -0.88206758 
CONTCAR_AuCO_701357 -0.83840000 -0.81198659 -0.73696188 -0.75242120 
CONTCAR_AuCO_701445 -0.84860000 -0.80149400 -0.96463190 -0.91066508 
CONTCAR_AuCO_701713 -0.82110000 -0.83044840 -0.73535967 -0.74292466 
CONTCAR_AuCO_701975 -0.73140000 -0.71449273 -0.74879358 -0.73090828 
CONTCAR_AuCO_701992 -0.92760000 -0.92482182 -1.07336756 -1.06440019 
CONTCAR_AuCO_702136 -0.78590000 -0.77320839 -0.91366651 -0.91754556 
CONTCAR_AuCO_702327 -0.78740000 -0.77952128 -0.83828264 -0.84069737 
CONTCAR_AuCO_702408 -0.78940000 -0.72753990 -0.82559393 -0.78275775 
CONTCAR_AuCO_702462 -0.80870000 -0.77631391 -0.77126024 -0.77427618 
CONTCAR_AuCO_702690 -0.83580000 -0.80024589 -0.94261476 -0.94417107 
CONTCAR_AuCO_702703 -0.81690000 -0.77756029 -0.81777653 -0.82480591 
CONTCAR_AuCO_702783 -0.76940000 -0.75051374 -0.84634681 -0.84783496 
CONTCAR_AuCO_7099 -0.35960000 -0.35404158 -0.31819724 -0.30574592 
CONTCAR_AuCO_800054 -0.64160000 -0.64335417 -0.67326670 -0.65192963 
CONTCAR_AuCO_800244 -0.65980000 -0.61772297 -0.69740558 -0.68361063 
CONTCAR_AuCO_800302 -0.77380000 -0.64479143 -0.73643258 -0.65635301 
CONTCAR_AuCO_800448 -0.65110000 -0.63870238 -0.65672406 -0.65582881 
CONTCAR_AuCO_800993 -0.76170000 -0.72040354 -0.76184780 -0.77211000 
CONTCAR_AuCO_801009 -0.66870000 -0.64559038 -0.65403984 -0.65551855 
CONTCAR_AuCO_801438 -0.60500000 -0.49947309 -0.66891939 -0.60032929 
CONTCAR_AuCO_801546 -0.71410000 -0.66791712 -0.70751154 -0.74824849 
CONTCAR_AuCO_801640 -0.85180000 -0.82471850 -0.91966148 -0.90297436 
CONTCAR_AuCO_801694 -0.65080000 -0.62103630 -0.62361430 -0.62793266 
CONTCAR_AuCO_801740 -0.66720000 -0.63532846 -0.73208945 -0.71993511 
CONTCAR_AuCO_801945 -0.73200000 -0.66669695 -0.73385615 -0.68853225 
CONTCAR_AuCO_801968 -0.86630000 -0.77936042 -0.78564836 -0.81284309 
CONTCAR_AuCO_802332 -0.60900000 -0.59372894 -0.61253184 -0.60848811 
CONTCAR_AuCO_802542 -0.68690000 -0.68138267 -0.65929239 -0.66711497 
CONTCAR_AuCO_802595 -0.61300000 -0.58331774 -0.63366148 -0.64145928 
CONTCAR_AuCO_900009 -0.50610000 -0.44937274 -0.42647138 -0.40076751 
CONTCAR_AuCO_900016 -0.57960000 -0.54166633 -0.60228427 -0.57030737 
CONTCAR_AuCO_901353 -0.61390000 -0.53039668 -0.61745206 -0.57178333 
CONTCAR_AuCO_901393 -0.77950000 -0.78438398 -0.75444283 -0.77443458 
CONTCAR_AuCO_901430 -0.81800000 -0.77286646 -0.69159486 -0.71044396 
CONTCAR_AuCO_901538 -0.46490000 -0.44485059 -0.38636026 -0.40636667 
CONTCAR_AuCO_901590 -0.46650000 -0.42815963 -0.39011379 -0.41315939 
CONTCAR_AuCO_901623 -0.75960000 -0.74782737 -0.70088400 -0.70675624 
CONTCAR_AuCO_901690 -0.53140000 -0.43849329 -0.51708259 -0.49080116 
CONTCAR_AuCO_902229 -0.53150000 -0.49326523 -0.50117127 -0.47480553 
CONTCAR_AuCO_902473 -0.63060000 -0.66154923 -0.56621719 -0.56569250 
CONTCAR_AuCO_902542 -0.60730000 -0.52866698 -0.61204783 -0.54886983 
CONTCAR_AuCO_903555 -0.55820000 -0.44541808 -0.42309587 -0.35483638 
CONTCAR_AuCO_02018 -0.62630000 -0.63469124 -0.63600496 -0.65007375 
CONTCAR_AuCO_03000 -0.67640000 -0.67798922 -0.73854310 -0.75849959 
CONTCAR_AuCO_03001 -0.60970000 -0.60064524 -0.56712383 -0.51997244 
CONTCAR_AuCO_03018 -0.96230000 -0.96040862 -1.15241001 -1.16127001 
CONTCAR_AuCO_04003 -0.77020000 -0.71397835 -0.68749128 -0.67049318 
CONTCAR_AuCO_05006 -0.62480000 -0.50297834 -0.61712033 -0.54088686 
CONTCAR_AuCO_05017 -0.57810000 -0.51893539 -0.60798954 -0.60256280 
CONTCAR_AuCO_05023 -0.68630000 -0.65973241 -0.62729271 -0.64133201 
CONTCAR_AuCO_06002 -0.64340000 -0.60677250 -0.61301526 -0.61308984 
CONTCAR_AuCO_07003 -0.95120000 -0.94385443 -1.03300701 -1.05810406 
CONTCAR_AuCO_07008 -0.81600000 -0.74604122 -0.87383435 -0.78671929 
CONTCAR_AuCO_07015 -0.67370000 -0.56586085 -0.76099255 -0.70178700 
CONTCAR_AuCO_07023 -0.90260000 -0.84082597 -0.81409688 -0.83619040 
CONTCAR_AuCO_07025 -0.81800000 -0.81604272 -0.84528834 -0.90250424 
CONTCAR_AuCO_08019 -0.85780000 -0.82579634 -0.90737205 -0.87465068 
CONTCAR_AuCO_08020 -0.71880000 -0.66653670 -0.74737850 -0.72616213 
CONTCAR_AuCO_09015 -0.70730000 -0.70344169 -0.65220636 -0.65359918 
CONTCAR_AuCO_1110077 -0.86770000 -0.85435807 -0.92135634 -0.94798883 
CONTCAR_AuCO_1110150 -0.71650000 -0.70952691 -0.64931842 -0.68117635 
CONTCAR_AuCO_1110397 -0.81960000 -0.78285460 -0.91032535 -0.88709170 
CONTCAR_AuCO_1110663 -1.00890000 -1.00456652 -1.09070150 -1.12449437 
CONTCAR_AuCO_1110745 -0.65150000 -0.64566749 -0.78312924 -0.79536905 
CONTCAR_AuCO_1110785 -0.45460000 -0.41881409 -0.41650867 -0.42955351 
CONTCAR_AuCO_1110822 -0.80160000 -0.75221217 -0.88734794 -0.88088441 
CONTCAR_AuCO_2814 -0.87390000 -0.85068153 -0.85109226 -0.85515036 
CONTCAR_AuCO_3531 -0.88860000 -0.88840433 -0.91209754 -0.91550345 
CONTCAR_AuCO_4086 -0.78000000 -0.70136787 -0.66635193 -0.66888790 
CONTCAR_AuCO_4118 -0.74400000 -0.70139743 -0.62031859 -0.61942204 
CONTCAR_AuCO_5951 -0.44950000 -0.39100778 -0.46724133 -0.44397638 
CONTCAR_AuCO_600054 -0.93510000 -0.93509906 -1.00523881 -1.03119338 
CONTCAR_AuCO_600090 -0.94770000 -0.95468364 -1.11045982 -1.12082501 
CONTCAR_AuCO_600101 -0.91750000 -0.90678709 -0.99796248 -1.02807656 
CONTCAR_AuCO_600113 -0.90830000 -0.89716932 -0.83443035 -0.86531445 
CONTCAR_AuCO_600168 -0.92760000 -0.93949229 -1.01851481 -1.04131945 
CONTCAR_AuCO_600375 -1.07150000 -1.04679365 -1.19098152 -1.21286332 
CONTCAR_AuCO_600601 -0.84840000 -0.82272851 -0.92639483 -0.95088784 
CONTCAR_AuCO_601018 -0.95070000 -0.92753739 -1.04048084 -1.05096744 
CONTCAR_AuCO_601231 -0.93170000 -0.91632764 -1.08092702 -1.08027570 
CONTCAR_AuCO_601288 -0.91110000 -0.88573587 -1.01057869 -1.02472158 
CONTCAR_AuCO_601290 -0.96710000 -0.93819513 -1.02946235 -1.03551936 
CONTCAR_AuCO_601345 -0.93040000 -0.89014268 -0.98127961 -0.97823735 
CONTCAR_AuCO_601421 -1.03980000 -1.02707475 -1.14777077 -1.18500385 
CONTCAR_AuCO_601693 -0.88060000 -0.86708312 -0.88325469 -0.88893997 
CONTCAR_AuCO_601694 -0.96160000 -0.93736806 -1.19589736 -1.19691154 
CONTCAR_AuCO_601720 -0.94980000 -0.91295555 -0.99781838 -0.99758711 
CONTCAR_AuCO_601825 -0.95870000 -0.94509132 -1.01801749 -1.04160286 
CONTCAR_AuCO_601854 -0.96570000 -0.94978469 -1.13671163 -1.14844857 
CONTCAR_AuCO_601869 -1.00350000 -0.97592988 -1.12541066 -1.13312314 
CONTCAR_AuCO_6815 -0.77350000 -0.72668107 -0.71755223 -0.74331469 
CONTCAR_AuCO_700002 -0.79610000 -0.77435042 -0.86881137 -0.87155015 
