###############################################################################
Defintion of the variables
  index: ID of structure
  coordiantion: number of the first neigbor of the center Au
  Ead: adsorption energy
  AuC: distance between center Au and C
  com_dis: distance between center Au and center of mass of OCOH
###############################################################################

index coordination Ead_vacuum Ead_reqm AuC_vacuum AuC_reqmcom_dis_vacuum com_dis_reqm
  802071   8    0.1939   -0.1641    2.1025    2.0974   2.5656    2.5535
  802311   8    0.2089   -0.0921    2.0792    2.0912   2.5638    2.5622
  802414   8    0.2153   -0.0832    2.1492    2.1435   2.6105    2.5955
  802418   8    0.1293   -0.1886    2.1142    2.1092   2.5885    2.5694
    8110   6    0.0886   -0.2104    2.0869    2.0752   2.5598    2.5375
    8129   6   -0.0417   -0.4830    2.0760    2.0624   2.5458    2.5264
    8606   7    0.0514   -0.2862    2.1031    2.0940   2.5798    2.5495
    8773   6    0.0298   -0.2138    2.0765    2.0660   2.5471    2.5318
  900115   9    0.2621   -0.0406    2.1351    2.1229   2.6075    2.5717
  900136   9    0.2444    0.0721    2.1244    2.1235   2.5971    2.5842
  900154   9    0.2323   -0.1213    2.1204    2.1099   2.5936    2.5645
  900183   9    0.3740    0.1296    2.1664    2.1768   2.6785    2.6718
  900298   9    0.3760    0.3336    2.1529    2.1599   2.6365    2.6313
  900388   9    0.1756    0.1164    2.1218    2.1106   2.5924    2.5831
  900804   9    0.2327   -0.1604    2.1338    2.1269   2.6066    2.5833
  900920   9    0.2414   -0.0492    2.1315    2.1195   2.6052    2.5642
  901055   9    0.2222   -0.0824    2.1208    2.1132   2.5976    2.5728
  901086   9    0.2773    0.0553    2.1307    2.1290   2.6271    2.6134
  901110   9    0.2410   -0.0261    2.1246    2.1138   2.5987    2.5707
  901169   9    0.4828    0.2530    2.1861    2.1804   2.7041    2.6932
  901294   9    0.2419   -0.0124    2.1324    2.1203   2.6053    2.5644
  901623   9    0.4239    0.4030    2.1813    2.1722   2.6962    2.6713
  901625   9    0.2874   -0.0107    2.1255    2.1160   2.5958    2.5671
  901686   9    0.3409    0.0093    2.1395    2.1302   2.6148    2.5806
  901690   9    0.1987   -0.0085    2.1298    2.1189   2.6017    2.5587
  901736   9    0.2651    0.0436    2.1370    2.1297   2.6097    2.5889
  901844   9    0.1521   -0.0635    2.1203    2.1192   2.5894    2.5701
  902894   9    0.3415    0.0694    2.1610    2.1504   2.6790    2.6511
  903538   9    0.2681    0.1149    2.1285    2.1253   2.6038    2.5889
    0080   6    0.0096   -0.2336    2.0788    2.0737   2.5592    2.5417
    0647   7   -0.0713   -0.3144    2.0886    2.0802   2.5608    2.5331
 1110385   5   -0.0584   -0.4479    2.0725    2.0609   2.5570    2.5349
 1110452   9    0.4794    0.2657    2.1904    2.1869   2.6615    2.6559
    1246   6    0.0366   -0.3574    2.0810    2.0706   2.5510    2.5235
    1704   6    0.1561   -0.1860    2.0805    2.0695   2.5610    2.5425
    1804   6    0.0843   -0.3958    2.0788    2.0699   2.5494    2.5283
    2537   6    0.0380   -0.2882    2.0827    2.0747   2.5563    2.5298
    2656   7    0.1022   -0.0602    2.0909    2.0845   2.5616    2.5562
    2839   6    0.0674   -0.4061    2.0794    2.0734   2.5432    2.5187
    4179   7    0.0597   -0.2628    2.0818    2.0731   2.5546    2.5239
    4460   8    0.2094    0.1001    2.0945    2.1100   2.5781    2.5584
    5641   8    0.0956   -0.1640    2.1195    2.1089   2.5838    2.5620
  600137   6    0.0290   -0.2118    2.0805    2.0707   2.5532    2.5357
  600235   6    0.0443   -0.3756    2.0803    2.0758   2.5496    2.5444
  600569   6    0.1554   -0.2070    2.0722    2.0669   2.5401    2.5349
  600606   6    0.0772   -0.3861    2.0815    2.0735   2.5446    2.5198
  600614   6    0.1196   -0.1790    2.0806    2.0712   2.5495    2.5235
  600758   6   -0.0168   -0.3978    2.0771    2.0691   2.5485    2.5398
  600906   6    0.0861   -0.2425    2.0742    2.0654   2.5409    2.5387
  601059   6    0.0713   -0.2854    2.0829    2.0779   2.5507    2.5478
  601231   6   -0.0154   -0.3669    2.0701    2.0601   2.5377    2.5235
  601421   6   -0.0594   -0.4870    2.0724    2.0608   2.5441    2.5216
  601618   6    0.1115   -0.2184    2.0745    2.0643   2.5472    2.5313
  601782   6   -0.0020   -0.4286    2.0760    2.0675   2.5436    2.5361
  601868   6    0.0352   -0.3525    2.0747    2.0647   2.5465    2.5226
  602029   6    0.0982   -0.0740    2.0799    2.0718   2.5572    2.5442
  602092   6   -0.0833   -0.4599    2.0794    2.0683   2.5628    2.5426
    6151   8    0.1341   -0.0605    2.1105    2.1002   2.5816    2.5597
  700089   7    0.0803   -0.2484    2.0795    2.0754   2.5636    2.5594
  700129   7   -0.0635   -0.4154    2.0790    2.0735   2.5416    2.5242
  700179   7   -0.0046   -0.2105    2.0860    2.0783   2.5651    2.5486
  700193   7    0.1673   -0.1090    2.0933    2.0839   2.5586    2.5389
  700428   7    0.0164   -0.1538    2.0947    2.0879   2.5600    2.5312
  700562   7   -0.0961   -0.5896    2.0792    2.0720   2.5571    2.5369
  700603   7    0.1977   -0.1852    2.0934    2.1020   2.5722    2.5724
  700646   7    0.1676   -0.2514    2.0835    2.1009   2.5659    2.5688
  700839   7    0.0247   -0.0635    2.0776    2.0867   2.5455    2.5363
  701004   7    0.0664   -0.2445    2.0923    2.0837   2.5706    2.5576
  701244   7    0.1448   -0.2313    2.0900    2.0994   2.5670    2.5562
  701354   7    0.1485   -0.1543    2.0923    2.0886   2.5748    2.5653
  701480   7    0.0060   -0.2674    2.0915    2.0858   2.5711    2.5320
  701647   7    0.1634   -0.2011    2.0907    2.0827   2.5726    2.5546
  701879   7    0.0986   -0.3191    2.0926    2.0892   2.5726    2.5570
  702080   7    0.0336   -0.1844    2.0847    2.0754   2.5494    2.5445
  702126   7    0.0070   -0.4115    2.0718    2.0644   2.5485    2.5407
  702328   7    0.0287   -0.3350    2.0962    2.0909   2.5638    2.5368
  702430   7    0.0539   -0.2687    2.0851    2.0749   2.5728    2.5543
  702703   7   -0.0236   -0.4755    2.0964    2.0900   2.5730    2.5477
  702735   7    0.0019   -0.2895    2.0929    2.0833   2.5705    2.5389
    7107   6   -0.0508   -0.3881    2.0823    2.0748   2.5573    2.5389
    7186   6    0.0836   -0.1012    2.0800    2.0732   2.5427    2.5247
    7868   7   -0.0569   -0.2008    2.0960    2.0865   2.5606    2.5344
  800263   8    0.2044   -0.1751    2.1143    2.1108   2.5908    2.5733
  800268   8    0.1045   -0.2536    2.1005    2.0897   2.5706    2.5449
  800385   8    0.2214   -0.1603    2.1292    2.1194   2.6036    2.5834
  800458   8    0.0740   -0.2310    2.0866    2.0800   2.5792    2.5642
  800525   8    0.0734   -0.2213    2.0986    2.0898   2.5779    2.5541
  800558   8    0.0829   -0.3557    2.1029    2.0942   2.5826    2.5588
  800674   8    0.2227   -0.0373    2.1148    2.1057   2.5888    2.5704
  801016   8    0.2057   -0.1685    2.1142    2.1062   2.5923    2.5746
  801092   8    0.2398   -0.0414    2.1235    2.1157   2.6025    2.5817
  801426   8    0.0425   -0.2202    2.1080    2.1020   2.5936    2.5831
  801496   8    0.0604   -0.0935    2.0852    2.0747   2.5838    2.5578
  801510   8    0.2577    0.0571    2.1041    2.0989   2.5786    2.5581
  801531   8    0.1931   -0.0672    2.1011    2.0903   2.5658    2.5468
  801537   8    0.3071    0.0805    2.1173    2.1083   2.5913    2.5697
  801558   8    0.0959   -0.3615    2.0982    2.0897   2.6052    2.5831
  801680   8    0.2227   -0.0111    2.1048    2.0950   2.5815    2.5539
  801703   8    0.1816   -0.0242    2.1189    2.1108   2.5983    2.5617
  801999   8    0.1348   -0.0320    2.1018    2.1129   2.5859    2.5776
  802024   8    0.2712    0.1724    2.1152    2.1071   2.5922    2.5590
  802076   8    0.0537   -0.2031    2.1041    2.0967   2.5787    2.5551
  802341   8    0.2217   -0.0630    2.1130    2.1075   2.5880    2.5734
  802618   8    0.1756   -0.0934    2.1100    2.1014   2.5809    2.5585
    8353   6    0.0900   -0.1897    2.0840    2.0765   2.5588    2.5486
  900067   9    0.2050   -0.1367    2.1291    2.1239   2.6065    2.5769
  900112   9    0.2730   -0.0074    2.1316    2.1270   2.6104    2.5735
  900244   9    0.3623    0.1076    2.1430    2.1404   2.6256    2.6128
  900327   9    0.2668   -0.0726    2.1330    2.1257   2.6072    2.5807
  900364   9    0.1784   -0.0798    2.1479    2.1648   2.6610    2.6552
  900383   9    0.2901    0.0350    2.1306    2.1261   2.6056    2.5809
  900460   9    0.2168   -0.1196    2.1214    2.1158   2.5957    2.5716
  900533   9    0.1795   -0.1036    2.1318    2.1242   2.6028    2.5711
  900903   9    0.2163   -0.0597    2.1329    2.1206   2.6075    2.5761
  901023   9    0.2494   -0.0691    2.1211    2.1124   2.5916    2.5694
  901305   9    0.2617   -0.0823    2.1278    2.1172   2.6018    2.5693
  901536   9    0.2252   -0.0730    2.1277    2.1189   2.5984    2.5667
