system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCOOH_802071 0.19390000 0.24019717 -0.12747516 -0.16413086 
CONTCAR_AuCOOH_802311 0.20890000 0.22095991 -0.03618444 -0.09210480 
CONTCAR_AuCOOH_802414 0.21530000 0.21679807 -0.05727548 -0.08324378 
CONTCAR_AuCOOH_802418 0.12930000 0.13578403 -0.16114005 -0.18856089 
CONTCAR_AuCOOH_8110 0.08860000 0.10083920 -0.20757804 -0.21042932 
CONTCAR_AuCOOH_8129 -0.04170000 -0.00097833 -0.44272655 -0.48295549 
CONTCAR_AuCOOH_8606 0.05140000 0.08510627 -0.28487246 -0.28620372 
CONTCAR_AuCOOH_8773 0.02980000 0.04267505 -0.20316262 -0.21379637 
CONTCAR_AuCOOH_900115 0.26210000 0.29007824 -0.04006715 -0.04062437 
CONTCAR_AuCOOH_900136 0.24440000 0.27452085 0.11076946 0.07214502 
CONTCAR_AuCOOH_900154 0.23230000 0.27487524 -0.10706569 -0.12128244 
CONTCAR_AuCOOH_900183 0.37400000 0.37404383 0.17030421 0.12955179 
CONTCAR_AuCOOH_900298 0.37600000 0.37939322 0.39796645 0.33360308 
CONTCAR_AuCOOH_900388 0.17560000 0.22290683 0.16106621 0.11638447 
CONTCAR_AuCOOH_900804 0.23270000 0.23688672 -0.14245921 -0.16037873 
CONTCAR_AuCOOH_900920 0.24140000 0.29266295 -0.04981299 -0.04923765 
CONTCAR_AuCOOH_901055 0.22220000 0.25637830 -0.07951204 -0.08236340 
CONTCAR_AuCOOH_901086 0.27730000 0.28380205 0.13494611 0.05529070 
CONTCAR_AuCOOH_901110 0.24100000 0.25537783 -0.02276067 -0.02605016 
CONTCAR_AuCOOH_901169 0.48280000 0.52785922 0.28830940 0.25299639 
CONTCAR_AuCOOH_901294 0.24190000 0.30237248 -0.01492260 -0.01236332 
CONTCAR_AuCOOH_901623 0.42390000 0.43019939 0.42515694 0.40304380 
CONTCAR_AuCOOH_901625 0.28740000 0.31797165 0.01752659 -0.01072417 
CONTCAR_AuCOOH_901686 0.34090000 0.37903018 0.00256131 0.00928900 
CONTCAR_AuCOOH_901690 0.19870000 0.29489908 0.03523844 -0.00848652 
CONTCAR_AuCOOH_901736 0.26510000 0.28881324 0.08821146 0.04355845 
CONTCAR_AuCOOH_901844 0.15210000 0.19539531 -0.02273703 -0.06348530 
CONTCAR_AuCOOH_902894 0.34150000 0.36431239 0.08212109 0.06939155 
CONTCAR_AuCOOH_903538 0.26810000 0.30170296 0.14282273 0.11490994 
CONTCAR_AuCOOH_0080 0.00960000 0.03439418 -0.22078227 -0.23364498 
CONTCAR_AuCOOH_0647 -0.07130000 -0.04543695 -0.30083710 -0.31440970 
CONTCAR_AuCOOH_1110385 -0.05840000 -0.06627205 -0.44106686 -0.44790846 
CONTCAR_AuCOOH_1110452 0.47940000 0.50836016 0.31455872 0.26571882 
CONTCAR_AuCOOH_1246 0.03660000 0.04213645 -0.32409876 -0.35738197 
CONTCAR_AuCOOH_1704 0.15610000 0.20984390 -0.16442922 -0.18601706 
CONTCAR_AuCOOH_1804 0.08430000 0.11426472 -0.35436293 -0.39580452 
CONTCAR_AuCOOH_2537 0.03800000 0.07106584 -0.27556155 -0.28823581 
CONTCAR_AuCOOH_2656 0.10220000 0.12069786 -0.01159095 -0.06022555 
CONTCAR_AuCOOH_2839 0.06740000 0.08757279 -0.38064067 -0.40605244 
CONTCAR_AuCOOH_4179 0.05970000 0.09331887 -0.25698864 -0.26283551 
CONTCAR_AuCOOH_4460 0.20940000 0.25591568 0.14469311 0.10005114 
CONTCAR_AuCOOH_5641 0.09560000 0.13284884 -0.14502714 -0.16400558 
CONTCAR_AuCOOH_600137 0.02900000 0.05659017 -0.19707944 -0.21177745 
CONTCAR_AuCOOH_600235 0.04430000 0.04779644 -0.32227497 -0.37558058 
CONTCAR_AuCOOH_600569 0.15540000 0.18712265 -0.19236758 -0.20699845 
CONTCAR_AuCOOH_600606 0.07720000 0.11839066 -0.37525114 -0.38612536 
CONTCAR_AuCOOH_600614 0.11960000 0.13745062 -0.16761870 -0.17895890 
CONTCAR_AuCOOH_600758 -0.01680000 -0.00443164 -0.37268451 -0.39781975 
CONTCAR_AuCOOH_600906 0.08610000 0.09902120 -0.22430587 -0.24253279 
CONTCAR_AuCOOH_601059 0.07130000 0.09772331 -0.25969168 -0.28544943 
CONTCAR_AuCOOH_601231 -0.01540000 -0.00411278 -0.34704883 -0.36691534 
CONTCAR_AuCOOH_601421 -0.05940000 -0.03004838 -0.46906083 -0.48704094 
CONTCAR_AuCOOH_601618 0.11150000 0.12038071 -0.20132098 -0.21841848 
CONTCAR_AuCOOH_601782 -0.00200000 0.01719024 -0.40446577 -0.42861906 
CONTCAR_AuCOOH_601868 0.03520000 0.04739520 -0.34529725 -0.35251792 
CONTCAR_AuCOOH_602029 0.09820000 0.11854917 -0.06535771 -0.07400743 
CONTCAR_AuCOOH_602092 -0.08330000 -0.10110751 -0.44790391 -0.45990037 
CONTCAR_AuCOOH_6151 0.13410000 0.18381468 -0.04507984 -0.06053987 
CONTCAR_AuCOOH_700089 0.08030000 0.08053917 -0.14240725 -0.24840215 
CONTCAR_AuCOOH_700129 -0.06350000 -0.05934399 -0.30673954 -0.41541133 
CONTCAR_AuCOOH_700179 -0.00460000 0.01483802 -0.17624874 -0.21053747 
CONTCAR_AuCOOH_700193 0.16730000 0.21180315 -0.08947833 -0.10903952 
CONTCAR_AuCOOH_700428 0.01640000 0.04300741 -0.13248324 -0.15384126 
CONTCAR_AuCOOH_700562 -0.09610000 -0.07771387 -0.56834506 -0.58959074 
CONTCAR_AuCOOH_700603 0.19770000 0.20567987 -0.13831025 -0.18519536 
CONTCAR_AuCOOH_700646 0.16760000 0.15861005 -0.20559604 -0.25137038 
CONTCAR_AuCOOH_700839 0.02470000 0.05323144 0.01533231 -0.06345297 
CONTCAR_AuCOOH_701004 0.06640000 0.10395214 -0.20024788 -0.24448267 
CONTCAR_AuCOOH_701244 0.14480000 0.18937191 -0.18708259 -0.23134548 
CONTCAR_AuCOOH_701354 0.14850000 0.13000917 -0.10938168 -0.15431384 
CONTCAR_AuCOOH_701480 0.00600000 0.01913030 -0.19400265 -0.26736633 
CONTCAR_AuCOOH_701647 0.16340000 0.17178168 -0.18763039 -0.20112129 
CONTCAR_AuCOOH_701879 0.09860000 0.11232108 -0.29018671 -0.31910402 
CONTCAR_AuCOOH_702080 0.03360000 0.07193198 -0.13857593 -0.18437087 
CONTCAR_AuCOOH_702126 0.00700000 0.05401517 -0.38640427 -0.41146721 
CONTCAR_AuCOOH_702328 0.02870000 0.05432455 -0.28260255 -0.33498650 
CONTCAR_AuCOOH_702430 0.05390000 0.06631054 -0.25658738 -0.26873659 
CONTCAR_AuCOOH_702703 -0.02360000 0.00987695 -0.45195509 -0.47547580 
CONTCAR_AuCOOH_702735 0.00190000 0.03749363 -0.28648384 -0.28951707 
CONTCAR_AuCOOH_7107 -0.05080000 -0.03448429 -0.38527007 -0.38806710 
CONTCAR_AuCOOH_7186 0.08360000 0.10344609 -0.04180830 -0.10124313 
CONTCAR_AuCOOH_7868 -0.05690000 -0.04590790 -0.18881134 -0.20075206 
CONTCAR_AuCOOH_800263 0.20440000 0.21381511 -0.14404555 -0.17512645 
CONTCAR_AuCOOH_800268 0.10450000 0.09362600 -0.23478446 -0.25363525 
